Cluster ID	Status	Cluster name	Size	Cluster members	Organisms	Length	Identity
UniRef50_P69928	reviewed	Cluster: Peptide toxin Am-3	5	P69928; B1NWU4; B1NWU3; B1NWU2; B1NWU6	Antheopsis maculata (Sea anemone); Actinia equina (Beadlet anemone)	74	50%
UniRef50_P69929	reviewed	Cluster: Peptide toxins Am-1	1	P69929	Antheopsis maculata (Sea anemone)	233	50%
UniRef50_P69930	reviewed	Cluster: Peptide toxin Am-2	1	P69930	Antheopsis maculata (Sea anemone)	80	50%
UniRef50_P69939	partially reviewed	Cluster: Potassium channel toxin AaTXK-beta	19	P69939; A0A088DB53; A9XE60; E4VP14; A0A088D9S1; A9XE59; A0A059UI30; B8XH40; Q9N661; P0CI49; D9U2A7; T1DEK6; T1E6W5; P69940; P0C2F3; Q5G8A6; A0A0C9RFQ9; Q0GY46; Q0GY44	Androctonus australis (Sahara scorpion); Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus); Mesobuthus gibbosus (Mediterranean checkered scorpion); Buthus occitanus israelis (Common yellow scorpion); Mesobuthus martensii (Manchurian scorpion) (Buthus martensii); Lychas mucronatus (Chinese swimming scorpion); Isometroides vescus; Australobuthus xerolimniorum; Tityus serrulatus (Brazilian scorpion); Tityus stigmurus (Brazilian scorpion); Tityus costatus (Brazilian scorpion); Tityus bahiensis (Brazilian scorpion); Tityus trivittatus (Argentinean scorpion); Tityus discrepans (Venezuelan scorpion)	91	50%
UniRef50_P69945	reviewed	Cluster: Toxin AETX-3	2	P69945; P69944	Anemonia erythraea (Sea anemone)	59	50%
UniRef50_P80670	reviewed	Cluster: Gating modifier of anion channels 2	4	P80670; P56215; P80671; P0CC12	Leiurus quinquestriatus hebraeus (Yellow scorpion); Androctonus mauretanicus mauretanicus (Scorpion); Odontobuthus doriae (Yellow Iranian scorpion)	29	50%
UniRef50_P80965	reviewed	Cluster: Long neurotoxin OH-5	2	P80965; P80156	Ophiophagus hannah (King cobra) (Naja hannah)	72	50%
UniRef50_P81038	partially reviewed	Cluster: Thrombin-like enzyme cerastotin (Fragments)	4	P81038; T2HQL1; T2HQI9; A0A077LD42	Cerastes cerastes (Horned desert viper); Ovophis okinavensis (Ryukyu Island pit viper) (Trimeresurus okinavensis); Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	98	50%
UniRef50_P81236	reviewed	Cluster: Basic phospholipase A2 acanthin-1	3	P81236; P81237; P23027	Acanthophis antarcticus (Common death adder); Pseudonaja textilis (Eastern brown snake)	119	50%
UniRef50_P81375	reviewed	Cluster: L-amino-acid oxidase (Fragments)	1	P81375	Macrovipera lebetina (Levantine viper) (Vipera lebetina)	107	50%
UniRef50_P81383	partially reviewed	Cluster: L-amino-acid oxidase	37	P81383; V8N3Q9; A0A098LY35; R4GD21; A0A098LX00; P81382; A8QL51; A8QL52; UPI00046C07C2; UPI000388EB60; UPI000388E7FF; A0A098LWM8; A8QL58; UPI0004626B1B; R4GAU3; M7AW19; M7B6R1; UPI00042C0108; UPI0003D0B61A; UPI0003C2ACAB; UPI0004627342; G1KLM2; G1MPP9; K7GEZ0; A0A024BTN9; UPI00038337B3; K7FDJ2; UPI0003C4464B; Q6TGQ9; X2L4E2; P0DI89; Q6TGQ8; K7G9R5; UPI0003C43B4A; V8NB97; Q4JHE1; A0A098LWS4	Ophiophagus hannah (King cobra) (Naja hannah); Eublepharis macularius (Leopard gecko) (Cyrtodactylus macularius); Anolis carolinensis (Green anole) (American chameleon); Pantherophis guttatus (Corn snake); Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma); Bungarus multicinctus (Many-banded krait); Bungarus fasciatus (Banded krait) (Pseudoboa fasciata); Chrysemys picta bellii (Western painted turtle) (Emys bellii); Naja atra (Chinese cobra); Chelonia mydas (Green sea-turtle) (Chelonia agassizi); Alligator mississippiensis (American alligator); Alligator sinensis (Chinese alligator); Meleagris gallopavo (Common turkey); Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis); Bothriechis schlegelii (Eyelash palm pitviper); Melopsittacus undulatus (Budgerigar) (Psittacus undulatus); Bothrops jararacussu (Jararacussu); Bothrops pictus (Lance head); Bothrops leucurus (White-tailed jararaca) (White-tailed lancehead); Bothrops moojeni (Lance-headed viper) (Caissaca); Pseudechis australis (Mulga snake) (King brown snake); Python regius (Ball python) (Boa regia)	491	50%
UniRef50_P81397	reviewed	Cluster: Snaclec rhodocetin subunit alpha	2	P81397; P81398	Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	133	50%
UniRef50_P81509	partially reviewed	Cluster: Snaclec CHH-B subunit beta	10	P81509; F8S0Y7; J3RY43; J3SBN9; A0A0F7Z3H4; B0VXV1; P81114; Q9PSM5; A0A077L7Y5; Q90WL9	Crotalus horridus (Timber rattlesnake); Crotalus adamanteus (Eastern diamondback rattlesnake); Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii); Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris); Bothrops jararaca (Jararaca) (Bothrops jajaraca); Protobothrops elegans (Elegant pitviper) (Trimeresurus elegans); Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	117	50%
UniRef50_P81599	reviewed	Cluster: Omega-hexatoxin-Hv1f	6	P81599; P0C2L4; P81598; P81596; P81595; P83588	Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus); Hadronyche formidabilis (Northern tree funnel-web spider) (Atrax formidabilis); Missulena bradleyi (Eastern mouse spider)	37	50%
UniRef50_P81694	reviewed	Cluster: Omega-ctenitoxin-Cs1a	1	P81694	Cupiennius salei (American wandering spider)	122	50%
UniRef50_P81727	reviewed	Cluster: Conotoxin BeTXIIb	1	P81727	Conus betulinus (Beech cone)	27	50%
UniRef50_P81743	partially reviewed	Cluster: Disintegrin EMF10B	17	P81743; P81742; P0C6B0; P81630; P0C6B5; P0C6A3; P81631; P83658; Q5EE07; P0C6A4; Q3BK15; P83041; P83043; Q1JRG9; P82466; P0C6A7; P83044	Eristicophis macmahoni (Leaf-nosed viper); Macrovipera lebetina obtusa (Levant blunt-nosed viper) (Vipera lebetina obtusa); Echis carinatus (Saw-scaled viper); Echis multisquamatus (Central Asian sand viper); Echis ocellatus (Ocellated saw-scaled viper); Cerastes vipera (Sahara sand viper); Cerastes cerastes (Horned desert viper); Macrovipera lebetina transmediterranea (Blunt-nosed viper) (Vipera lebetina transmediterranea); Echis carinatus sochureki (Saw-scaled viper); Vipera berus berus (Common viper)	68	50%
UniRef50_P81744	reviewed	Cluster: Omega-agatoxin-Aa3b	3	P81744; P33034; P84093	Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi); Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	76	50%
UniRef50_P81755	partially reviewed	Cluster: Epsilon-conotoxin TxVA	82	P81755; S4UKA0; Q3YEH1; Q9BPG6; W4VSF2; W4VS29; S4UJE7; A0A061QFT3; U3L0I5; U6BZE8; P0C668; Q9U6Z5; Q9BPF8; Q3YEH2; S4UJG1; W4VRY5; S4UKJ9; P0C906; C0KYC5; P0C670; P0C641; P0C636; W4VS88; W4VSK7; W4VSK5; U6C265; Q6PN85; Q6PN86; H8Y821; H8Y818; W4VSF0; Q9BPG3; Q9BPG5; Q9BPF7; P0C667; Q9U6Z6; Q9BPE7; Q9BPF0; Q9BPE8; H8Y820; Q3YEH3; U6BZJ6; U6BZS4; Q6PN84; Q3YEH4; U3L0G6; Q3YEG9; A0A061QHK8; W4VRY2; S4UJZ3; Q3YEE9; S4UJQ7; Q9U6Z8; Q9BPG8; Q9BPE9; Q1A3R1; S4UKA7; U6BZD5; A0A061QFN4; A0A061QLF8; P0C669; Q6PN82; U6C1L2; Q68IP5; W4VRY3; P0C640; W4VS31; C0KYC3; C0KYC6; P84845; W4VSK4; H8Y1U1; W4VS27; W4VS86; Q9U700; W4VSF1; P69768; Q9U6Z9; Q9BPF2; Q9BH99; Q9BPF6; Q9BPF5	Conus textile (Cloth-of-gold cone); Conus striatus (Striated cone); Conus litteratus (Lettered cone); Conus victoriae (Queen Victoria cone); Conus sp. n. 1 NP-2014; Conus flavidus (Yellow Pacific cone); Conus marmoreus (Marble cone); Conus caracteristicus (Characteristic cone); Conus imperialis (Imperial cone); Conus pennaceus (Feathered cone) (Conus episcopus); Conus leopardus (Leopard cone); Conus spurius (Alphabet cone); Conus virgo (Virgin cone); Conus pulicarius (Flea-bite cone); Conus ventricosus (Mediterranean cone); Conus purpurascens (Purple cone); Conus lividus (Livid cone); Conus ebraeus (Hebrew cone); Conus gloriamaris (Glory-of-the-Seas cone); Conus emaciatus (False virgin cone); Conus tessulatus (Tessellate cone)	67	50%
UniRef50_P81782	reviewed	Cluster: Bucandin	2	P81782; P25682	Bungarus candidus (Malayan krait); Dendroaspis jamesoni kaimosae (Eastern Jamesons mamba)	63	50%
UniRef50_P81789	reviewed	Cluster: Omega-ctenitoxin-Pn2a (Fragment)	1	P81789	Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	34	50%
UniRef50_P81790	reviewed	Cluster: Omega-ctenitoxin-Pn3a	1	P81790	Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	116	50%
UniRef50_P81791	reviewed	Cluster: U7-ctenitoxin-Pn1a	2	P81791; P0C2S9	Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	84	50%
UniRef50_P81792	reviewed	Cluster: Omega-ctenitoxin-Pn4a	3	P81792; P0C2S7; P0C2S8	Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	90	50%
UniRef50_P81793	reviewed	Cluster: U6-ctenitoxin-Pn1a	2	P81793; P0C2S6	Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	80	50%
UniRef50_P81803	reviewed	Cluster: U1-hexatoxin-Hv1a	1	P81803	Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus)	68	50%
UniRef50_P81991	reviewed	Cluster: Cysteine-rich venom protein asurin-1 (Fragment)	1	P81991	Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus)	46	50%
UniRef50_P81993	reviewed	Cluster: Cysteine-rich venom protein bucarin (Fragment)	1	P81993	Bungarus candidus (Malayan krait)	67	50%
UniRef50_P81994	reviewed	Cluster: Cysteine-rich venom protein tropirin (Fragment)	1	P81994	Tropidechis carinatus (Australian rough-scaled snake)	27	50%
UniRef50_P81996	reviewed	Cluster: Snaclec echicetin subunit beta	6	P81996; Q6X5S5; P0DJL5; B4XT06; B4XT05; P81113	Echis carinatus sochureki (Saw-scaled viper); Echis ocellatus (Ocellated saw-scaled viper); Daboia palaestinae (Palestine viper) (Vipera palaestinae); Macrovipera lebetina (Levantine viper) (Vipera lebetina); Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris)	123	50%
UniRef50_P82140	partially reviewed	Cluster: Defensin-like peptide 2/4	4	P82140; P0C8B2; P82172; F6UKT6	Ornithorhynchus anatinus (Duckbill platypus)	66	50%
UniRef50_P82141	reviewed	Cluster: Defensin-like peptide 3	1	P82141	Ornithorhynchus anatinus (Duckbill platypus)	38	50%
UniRef50_P82228	reviewed	Cluster: Kappa-hexatoxin-Hv1c	4	P82228; P0C2L8; P82226; P82227	Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus); Hadronyche formidabilis (Northern tree funnel-web spider) (Atrax formidabilis)	37	50%
UniRef50_P82414	reviewed	Cluster: Ponericin-G1	5	P82414; P82417; P82418; P82416; P82415	Pachycondyla goeldii (Ponerine ant)	30	50%
UniRef50_P82420	partially reviewed	Cluster: Ponericin-G7	5	P82420; P82419; A0A0A9HA42; P81835; P81846	Pachycondyla goeldii (Ponerine ant); Arundo donax (Giant reed) (Donax arundinaceus); Litoria citropa (Australian blue mountains tree frog)	19	50%
UniRef50_P82421	reviewed	Cluster: Ponericin-L1	2	P82421; P82422	Pachycondyla goeldii (Ponerine ant)	24	50%
UniRef50_P82428	reviewed	Cluster: Ponericin-W6	2	P82428; P0DME5	Pachycondyla goeldii (Ponerine ant); Chaerilus tryznai (Scorpion)	20	50%
UniRef50_P82464	reviewed	Cluster: Muscarinic toxin-like protein 3	1	P82464	Naja kaouthia (Monocled cobra) (Naja siamensis)	65	50%
UniRef50_P82470	reviewed	Cluster: Tachykinin-1	2	P82470; P83660	Schistocerca gregaria (Desert locust); Cyphononyx dorsalis (Spider wasp) (Cyphononyx fulvognathus)	14	50%
UniRef50_P82601	reviewed	Cluster: U1-theraphotoxin-Cv1a	2	P82601; P0CH55	Coremiocnemis valida (Singapore tarantula) (Blue femur tarantula); Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	31	50%
UniRef50_P82656	reviewed	Cluster: Hadrurin	1	P82656	Hadrurus aztecus (Mexican scorpion)	41	50%
UniRef50_P82814	reviewed	Cluster: Insect toxin BsIT4	2	P82814; P21150	Hottentotta tamulus sindicus (Scorpion) (Buthus sindicus); Androctonus australis (Sahara scorpion)	62	50%
UniRef50_P82852	reviewed	Cluster: Omega-hexatoxin-Hv2a	1	P82852	Hadronyche versuta (Blue mountains funnel-web spider) (Atrax versutus)	45	50%
UniRef50_P82880	partially reviewed	Cluster: Temporin-1Ca	12	P82880; A0A0B0NI70; P0C1M3; A0A0A9MFL0; P17231; C4IYT0; P17235; C0HJK4; A0A0A9RPP1; P40754; P17237; P0C1M2	Rana clamitans (Green frog); Gossypium arboreum (Tree cotton) (Gossypium nanking); Vespa magnifica (Hornet); Arundo donax (Giant reed) (Donax arundinaceus); Vespa tropica (Greater banded hornet) (Sphex tropica); Zea mays (Maize); Vespula lewisii (Korean yellow-jacket wasp) (Vespula flaviceps lewisii); Dinoponera quadriceps (South American ant); Glandirana rugosa (Japanese wrinkled frog) (Rana rugosa); Icaria sp. (Ropalidian wasp)	13	50%
UniRef50_P82942	partially reviewed	Cluster: Hemorrhagic metalloproteinase-disintegrin-like kaouthiagin	5	P82942; R4G2Z1; Q9PT47; R4FIM1; R4G2I8	Naja kaouthia (Monocled cobra) (Naja siamensis); Hoplocephalus bungaroides; Atractaspis engaddensis (Israeli burrowing asp) (Israeli mole viper); Pseudonaja modesta	401	50%
UniRef50_P82960	reviewed	Cluster: U1-theraphotoxin-Hs1b	8	P82960; P0CH77; B3EWQ0; P85497; P85504; P61509; P61510; P49265	Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum); Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana); Avicularia juruensis (Yellow-banded pinktoe); Brachypelma ruhnaui (Mexican golden redrump tarantula) (Brachypelma albiceps); Aphonopelma californicum (American tarantula) (Eurypelma californicum); Brachypelma smithi (Mexican red knee tarantula) (Euathlus smithi)	37	50%
UniRef50_P82971	partially reviewed	Cluster: Phospholipase A2	4	P82971; Q7M4I6; UPI00034F98F3; H9JTR4	Bombus terrestris (Buff-tailed bumblebee) (Apis terrestris); Bombus pensylvanicus (American bumblebee) (Apis pensylvanica); Bombyx mori (Silk moth)	136	50%
UniRef50_P82972	reviewed	Cluster: Natriuretic peptide PNP	2	P82972; B3EWY3	Pseudocerastes persicus (Persian horned viper) (False horned viper); Crotalus oreganus abyssus (Grand Canyon rattlesnake) (Crotalus abyssus)	37	50%
UniRef50_P83055	reviewed	Cluster: Kininogen-2	1	P83055	Bombina maxima (Giant fire-bellied toad) (Chinese red belly toad)	114	50%
UniRef50_P83056	reviewed	Cluster: Kininogen-1	2	P83056; P83057	Bombina variegata (Yellow-bellied toad)	97	50%
UniRef50_P83059	partially reviewed	Cluster: Kininogen-2	4	P83059; Q5GC96; Q90W88; Q5GC95	Bombina orientalis (Oriental fire-bellied toad); Bombina maxima (Giant fire-bellied toad) (Chinese red belly toad)	161	50%
UniRef50_P83080	partially reviewed	Cluster: Maximins 1/H1	217	P83080; C3RSS0; C3RSX4; C3RTK7; B5L153; C3RSX5; Q58T56; C3RSZ2; C3RSV5; C3RSV6; B5L0Z6; C3RSX6; C3RTJ2; C3RTK8; B5L105; C3RTK1; C3RSY0; Q58T58; C3RSU1; C3RSQ4; B5L141; P83081; B5L108; C3RSR6; C3RSU2; C3RSY1; Q58T72; C3RTJ9; C3RSW3; B5L138; B5L158; B5L143; C3RST9; B5L131; C3RSX9; C3RSW0; C3RSQ3; B5L160; Q58T74; C3RSZ1; B5L161; C3RSV7; Q58T41; B5L116; C3RSP0; B5L0Z9; B5L109; B5L0Z0; Q58T69; B5L132; Q58T68; C3RSR5; B5L100; C3RSQ5; C3RTL0; C3RSP3; Q58T51; C3RSP1; C3RSP6; P83082; C3RST8; B5L133; B5L0Z2; C3RST1; Q58T64; C3RSV9; B5L154; B5L0Z5; B5L106; C3RSS8; C3RSS9; C3RSP8; B5L0Y9; C3RTJ8; C3RSS7; C3RSW9; Q58T86; C3RSY2; C3RSU0; Q58T49; C3RSX0; Q58T87; C3RSX1; C3RSU7; Q9DET7; C3RSU4; C3RSU9; C3RSR1; B5L136; Q58T39; C3RSV0; Q58T59; C3RSU5; C3RTJ6; Q58T45; C3RSU6; Q58T95; Q58T94; Q58T93; C3RSR8; C3RSS4; C3RSQ9; C3RSS5; C3RSV1; C3RSR0; C3RSR7; C3RSV3; C3RSS6; B5L145; B5L112; Q58T70; Q58T65; B5L0Z4; B5L125; Q58T40; C3RSY3; Q58T83; B5L0Z1; C3RSP4; C3RSV4; C3RSQ2; C3RSQ8; Q58T46; B5L128; C3RSV8; B5L157; C3RTK0; Q58T43; C3RSP5; B5L104; C3RSP2; Q58T48; B5L110; C3RSQ7; C3RSQ0; C3RSP7; Q58T80; B5L0Z3; C3RSQ6; C3RSS1; C3RSQ1; C3RSR3; C3RSR9; C3RSY4; B5L0Z8; B5L150; P29006; P82285; B5L129; C3RSY9; C3RTL1; C3RST5; Q58T61; C3RSR4; C3RSX7; B5L118; Q58T55; Q4L0B6; X5JB11; A0A0A1I6K1; X5JAN0; C3RTK3; Q8JHE1; B5L135; C3RSX2; C3RSW4; C3RSW1; C3RST0; C3RSW5; C3RSW6; Q58T92; Q58T89; C3RSW2; C3RTJ3; C3RTK6; P83083; C3RTJ1; Q58T79; B5L113; Q58T90; C3RSU8; Q58T52; C3RTK2; C3RTK9; Q58T91; C3RSR2; C3RSW8; C3RSY7; C3RST7; Q58T44; Q58T77; C3RSS3; C3RSW7; C3RTK4; C3RST2; C3RSY5; C3RSY6; Q58T42; C3RST6; B5L102; C3RSY8; Q58T62; C3RSS2; C3RTJ5; C3RSX3; B5L130; C3RST3; P82286; C3RTJ4; Q58T60; C3RSU3; B5L156; P83084; C3RSX8; C3RST4; C3RSZ0; C3RTJ7	Bombina maxima (Giant fire-bellied toad) (Chinese red belly toad); Bombina microdeladigitora (Hubei firebelly toad); Bombina orientalis (Oriental fire-bellied toad); Bombina variegata (Yellow-bellied toad)	144	50%
UniRef50_P83108	reviewed	Cluster: Neurotoxin	1	P83108	Buthus sp. (strain IY-2001) (Scorpion)	35	50%
UniRef50_P83228	partially reviewed	Cluster: Natriuretic peptide TNP-b	46	P83228; R4G2E7; R4G2E1; R4FIA8; R4FJI5; R4G2R3; R4FK47; R4G7J9; R4G2F4; R4G7G3; R4G2T0; R4FIC8; R4G2G0; R4FIE0; R4G312; R4G2J0; R4FIR5; R4G7G8; R4G7J4; R4G2Z8; R4FK10; R4G2F9; R4G2F7; R4G2F8; Q3SAE6; R4FIN6; Q3SAE7; R4G2T9; R4FIX7; R4G2X3; R4G7I3; R4FIJ3; R4G2H3; R4G7I2; R4G2H4; R4FIJ0; R4FJW1; R4FJV4; R4G2X5; R4G2D5; R4G7E4; R4G2K8; R4FKD8; R4G340; R4G7L2; R4FJV8	Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan); Cacophis squamulosus; Brachyurophis roperi (Northern shovel-nosed snake); Pseudonaja modesta; Denisonia devisi (De Vis banded snake); Echiopsis curta; Hoplocephalus bungaroides; Hoplocephalus stephensii (Stephens banded snake); Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake); Suta fasciata; Hemiaspis signata; Acanthophis wellsi	111	50%
UniRef50_P83234	partially reviewed	Cluster: Ohanin	32	P83234; V8NEU2; B5KLB7; B5KLC0; B5KLB8; G1KXL5; UPI000462C678; A0A098LYI7; A0A098LWX5; T1DP90; F8S122; A0A0F7Z3A7; Q27J48; T1E3B3; A0A098M135; M9T2A3; B5KLB3; A0A024AXC4; A0A024AX08; B5G6F9; B5KLC2; B5KLC1; F8RKW2; B5KLB9; B5KLB0; B5KLB1; F8RKW4; B5KLB4; B5KLB2; F8RKW3; B5KLA9; B5G6F8	Ophiophagus hannah (King cobra) (Naja hannah); Cryptophis nigrescens (Eastern small-eyed snake) (Rhinoplocephalus nigrescens); Pseudechis porphyriacus (Red-bellied black snake); Anolis carolinensis (Green anole) (American chameleon); Pantherophis guttatus (Corn snake); Opheodrys aestivus; Crotalus oreganus helleri (Southern pacific rattlesnake) (Crotalus viridis helleri); Crotalus adamanteus (Eastern diamondback rattlesnake); Lachesis muta muta (Bushmaster); Crotalus horridus (Timber rattlesnake); Hypsiglena sp. JMG-2014; Boa constrictor (Boa); Oxyuranus scutellatus (Coastal taipan); Micropechis ikaheka (New Guinean small-eyed snake); Demansia vestigiata (Lesser black whip snake) (Demansia atra); Hoplocephalus stephensii (Stephens banded snake); Pseudechis australis (Mulga snake) (King brown snake); Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides); Tropidechis carinatus (Australian rough-scaled snake); Pseudonaja textilis (Eastern brown snake); Notechis scutatus (mainland tiger snake)	190	50%
UniRef50_P83239	reviewed	Cluster: Pandinin-1	2	P83239; P83314	Pandinus imperator (Emperor scorpion); Opistophthalmus carinatus (African yellow leg scorpion)	44	50%
UniRef50_P83240	reviewed	Cluster: Pandinin-2	2	P83240; P82427	Pandinus imperator (Emperor scorpion); Pachycondyla goeldii (Ponerine ant)	24	50%
UniRef50_P83243	reviewed	Cluster: Potassium channel toxin alpha-KTx 13.1	5	P83243; P84630; P0C8L2; P0C8X6; P83244	Tityus obscurus (Amazonian scorpion) (Tityus cambridgei); Tityus pachyurus (Colombian scorpion); Tityus stigmurus (Brazilian scorpion); Orthochirus scrobiculosus (Central Asian scorpion)	23	50%
UniRef50_P83247	reviewed	Cluster: M-oxotoxin-Ot1a	1	P83247	Oxyopes takobius (Lynx spider) (Oxyopes foliiformis)	48	50%
UniRef50_P83248	reviewed	Cluster: M-oxotoxin-Ot2a	4	P83248; P83251; P83250; P83249	Oxyopes takobius (Lynx spider) (Oxyopes foliiformis)	37	50%
UniRef50_P83254	reviewed	Cluster: Disintegrin lebein-1-beta	8	P83254; H9M5U4; P0C6A5; A2CJE5; P21859; P0C6A8; P0C6A6; P0C6B4	Macrovipera lebetina (Levantine viper) (Vipera lebetina); Crotalus ruber ruber (Red diamond rattlesnake); Vipera ammodytes ammodytes (Western sand viper); Crotalus atrox (Western diamondback rattlesnake); Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis); Macrovipera lebetina obtusa (Levant blunt-nosed viper) (Vipera lebetina obtusa); Vipera berus berus (Common viper); Echis carinatus (Saw-scaled viper)	64	50%
UniRef50_P83255	partially reviewed	Cluster: Snake venom metalloproteinase fibrolase	19	P83255; P34179; Q7LZP2; P84907; P0DL29; P22796; P85420; T2HRS1; Q91401; P86976; U3KRG1; P20897; E3UJL4; E3UJL3; P20165; Q9I9R4; P86802; Q3ZD74; P85314	Macrovipera lebetina (Levantine viper) (Vipera lebetina); Crotalus adamanteus (Eastern diamondback rattlesnake); Bothrops leucurus (White-tailed jararaca) (White-tailed lancehead); Bothrops pirajai (Pirajas lance head); Lachesis muta muta (Bushmaster); Bothrops atrox (Barba amarilla) (Fer-de-lance); Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis); Crotalus atrox (Western diamondback rattlesnake); Bothrops barnetti (Barnetts lancehead) (Trimeresurus barnetti); Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus); Crotalus ruber ruber (Red diamond rattlesnake); Bothrops neuwiedi (Neuwieds lancehead); Bothrops pauloensis (Neuwieds lancehead) (Bothrops neuwiedi pauloensis); Bothrops marajoensis (Marajo lancehead); Bothrops moojeni (Lance-headed viper) (Caissaca)	202	50%
UniRef50_P83257	reviewed	Cluster: Delta-amaurobitoxin-Pl1b	12	P83257; P83259; P15967; P11058; P83258; P15968; P60177; P60178; P83256; P11060; P11061; P11062	Pireneitega luctuosa (Tangled nest spider) (Paracoelotes luctuosus); Hololena curta (Funnel-web spider) (Agelena curta); Agelenopsis aperta (North American funnel-web spider) (Agelenopsis gertschi)	37	50%
UniRef50_P83301	reviewed	Cluster: Omega-conotoxin-like Vn2	1	P83301	Conus ventricosus (Mediterranean cone)	33	50%
UniRef50_P83302	reviewed	Cluster: Neurotoxin Oh9-1	1	P83302	Ophiophagus hannah (King cobra) (Naja hannah)	57	50%
UniRef50_P83312	reviewed	Cluster: Parabutoporin	1	P83312	Parabuthus schlechteri (Scorpion)	45	50%
UniRef50_P83313	reviewed	Cluster: Opistoporin-1	3	P83313; L0GBQ6; C7C1L2	Opistophthalmus carinatus (African yellow leg scorpion); Urodacus yaschenkoi (Inland robust scorpion); Opisthacanthus cayaporum (South American scorpion)	82	50%
UniRef50_P83346	reviewed	Cluster: Bucain	2	P83346; P84716	Bungarus candidus (Malayan krait); Causus rhombeatus (Rhombic night adder)	65	50%
UniRef50_P83390	reviewed	Cluster: Conotoxin	1	P83390	Conus amadis (Amadis cone)	27	50%
UniRef50_P83405	reviewed	Cluster: Potassium channel toxin alpha-KTx 9.6	7	P83405; P80669; P86398; B3EWX9; P84744; P15230; P60209	Hottentotta judaicus (Black scorpion) (Buthotus judaicus); Leiurus quinquestriatus hebraeus (Yellow scorpion); Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus); Mesobuthus gibbosus (Mediterranean checkered scorpion); Buthus occitanus tunetanus (Common European scorpion); Hottentotta tamulus sindicus (Scorpion) (Buthus sindicus); Mesobuthus tamulus (Eastern Indian scorpion) (Buthus tamulus)	28	50%
UniRef50_P83406	partially reviewed	Cluster: Potassium channel toxin alpha-KTx 9.7	2	P83406; F1CIV1	Hottentotta judaicus (Black scorpion) (Buthotus judaicus)	28	50%
UniRef50_P83407	partially reviewed	Cluster: Potassium channel toxin alpha-KTx 19.1	2	P83407; A0A088DAE2	Mesobuthus martensii (Manchurian scorpion) (Buthus martensii); Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	31	50%
UniRef50_P83451	reviewed	Cluster: N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (Fragments)	1	P83451	Asobara tabida (Parasitic wasp)	40	50%
UniRef50_P83476	reviewed	Cluster: Beta/omega-theraphotoxin-Tp2a	6	P83476; P60273; P61231; B3EWN1; P61230; P0C2P4	Thrixopelma pruriens (Peruvian green velvet tarantula); Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata); Paraphysa scrofa (Chilean copper tarantula) (Phrixotrichus auratus); Pterinochilus murinus (Mombasa golden starburst baboon spider)	30	50%
UniRef50_P83542	reviewed	Cluster: Phospholipase A1 (Fragment)	1	P83542	Polistes gallicus (Paper wasp)	42	50%
UniRef50_P83557	reviewed	Cluster: Mu-hexatoxin-Mg1b	1	P83557	Macrothele gigas (Spider)	38	50%
UniRef50_P83558	reviewed	Cluster: Mu-hexatoxin-Mg1a	2	P83558; Q75WH1	Macrothele gigas (Spider)	121	50%
UniRef50_P83559	reviewed	Cluster: Mu-hexatoxin-Mg2a	1	P83559	Macrothele gigas (Spider)	46	50%
UniRef50_P83560	reviewed	Cluster: Delta-hexatoxin-Mg1a	1	P83560	Macrothele gigas (Spider)	105	50%
